Agency ID;Name;Created date;Agents;Categories;Credit flag;VAT Number;Agency charge;Agency charge usage;Phone;Phone 2;Phone 3;Phone 4;Phone 5;Phone 6;Phone 7;Cell;Cell 2;Cell 3;Cell 4;Fax;Fax 2;Fax 3;Email;Email 2;Email 3;Email 4;Email 5;Email 6;Facebook;Facebook 2;Skype;Twitter;Website;Website 2;Website 3;Instagram;Instagram 2;Instagram 3;Address;City;State;Zip;Country;Access;Address 2;City 2;State 2;Zip 2;Country 2;Access 2;Address 3;City 3;State 3;Zip 3;Country 3;Access 3
1;Mediaslide;2013-12-12 13:19:47;;;;;;;+33 1 86 47 60 33;;;;;;;;;;;;;;contact@mediaslide.com;;;;;;www.facebook.com/pages/Mediaslide/174066489291022;;;;www.mediaslide.com;;;;;;5 rue de charonne;Paris;Île-de-France;75011;France;;;;;;;;;;;;;
2;Most Wanted;2017-03-07 17:25:48;Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Ghp Photo & Production GmbH & Co. KG;2017-03-10 11:12:20;Caroline Reischenbeck;Repräsentant;;;20;20;040-2784961-0 / -10 Erik;;;;;;;;;;;erik@ghamannp.de;;;info@ghamannp.de;;;;;;;;;;;;;;;;Borstelstr. 16c;HAMBURG;;22765;;;;;;;;;;;;;;
4;NonFood Werbeagentur GmbH;2017-03-09 00:00:00;Doreen Leifheit;;;;0;0;+49 (0) 40 / 39 9999 269;;;;;;;;;;;+49 (0) 40 / 39 9999 150;;;asteppan@nonfood.de;;;;;;;;;;;;;;;;Tarpen 40 (ValvoPark, Haus 5b);Hamburg;;22419;;;Essener Str 4 a ;Hamburg/Norderstedt;;;;;;;;;;
5;UCM Verlag B2C Corporate Publishing;2017-03-09 00:00:00;Paula Alonso;Mag / Ed;;;0;0;+43 (0)6246 / 89 79-37;;;;;;;;;;;;;;christina.hoerbiger@ucm-verlag.at;martina.strasser@ucm-verlag.at;christina@ucm-verlag.at;;;;;;;;;;;;;;Salzweg 17;Salzburg-Anif;;A-5081;;;;;;;;;;;;;;
6;yellow design | yellow circle;2017-03-09 00:00:00;Most Wanted Models@;;;;0;0;+49 (0) 221 9213 78 -28;;;;;;;;;;;;;;waehrisch@yellowdesign.com;;;;;;;;;;http:www.yellowdesign.com;;;;;;Bayenthalgürtel 31;Köln;;50968;;;;;;;;;;;;;;
7;mytheresa.com GmbH;2017-03-08 00:00:00;Paula Alonso;;;;;;+49 89 127695-177;+49 89 127695-200;;;;;;;;;;+49 89 679707-200;;;gloria.gaglione@mytheresa.com;;;;;;;;;;;;;@mytheresa.com;;;Marsstrasse 6 b;;Kirchheim-Heimstetten;85551 ;;;;;;;;;;;;;;
8;Zuumeo GmbH;2017-03-08 00:00:00;;Fashion;;;;;;;;;;;;+49 (0)176-4205 3451;;;;+49 (0)30-275 946-93;;;julian.paul@zalando.de;;;;;;;;;;;;;;;;Pappelallee 78/79;Berlin;;10437;;;;;;;;;;;;;;
9;Picturepark Studios GmbH;2017-03-08 00:00:00;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paul-Dessau-Str 6;Hamburg;;22761;;;;;;;;;;;;;;
10;Redaktion Bild der Frau;2017-03-08 00:00:00;Most Wanted Models@;AD;;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Axel-Springer-Platz 1;Hamburg;;20350;;;;;;;;;;;;;;
